,label,text
5846,1,report: voters may have tried to influence '96 election
1306,1,"We don't take him seriously anymore because despite having been refuted over and over (both here and on at least four other boards), he still posts the same garbage. Whenever it looks like there has been overwhelming refutation of his thread, he abandons it and starts a new one saying basically the same thing as the one before it. THAT is why he isn't taken seriously, and no, it is not ""unfair"". I also have to ask why you think he puts so much intelligence into his posts, when all he does is either cut and paste from some anti-evolution site, or say things like ""science is a joke"" My pet dog could do better."
18061,1,man pretty sure he could run this company into ground way better than boss
1417,1,sasha obama orders secret service agent to stop squirming during makeover
26654,1,restaurant patron seeking corroboration that soda is not diet
9963,0,we're spending less on health care than we thought we would before obamacare
11732,0,"The advantage is to the operators of the vessel being attacked.   The attackers need to (a) keep the attacked vessel afloat (lest the operators drown) and (b) have living victims to ransom.   The attacked, on the other hand, are not restricted at all in defending themselves. They don't even have to fire accurately. Just putting a few holes below the attacker's waterline will cause the attackers to slow down, take on water and sink."
24983,0,we could see michelle obama in all of these designs
27987,1,study: average person's enjoyment of vacation drops 36% for each additional family member present
2060,1,man who likes to be jostled moving to city
15816,0,ellen goes hetero for halloween!
19789,0,"Well, I don't work with any ""reefer heads"" or pot smokers now...this was awhile back."
20427,1,"Then maybe you could take him!
He was the president of the church who preached against gay sex but did it just the same, maybe he will fit right in with your church, maybe your church would give him a position of minister but I doubt it!
"
19258,1,"disgusted tsa agents also calling for end to body scanning, thorough pat-downs"
20093,0,"Yeah, he's absolutely correct. So what's your point? You think you deserve special rights? Are you better than straight people? Are you superior people because your preferred form of sex doesn't allow for pro-creation as God commanded humanity to do? Is this your argument?"
26053,1,lack of sexual tension with coworker almost unbearable
16924,0,new internet radio station modeled on heyday of fm radio
11793,0,here's your chance to attend kobe bryant's last game
8905,1,loser friend sort of doing better
14595,0,how one dying man changed the debate about the tax bill
25568,0,parents fight to save their two daughters after tragic diagnosis
7363,0,How does anyone deny someone the right to believe something? I don't understand what you're saying.
207,1,paul krugman's facebook friends excitedly posting about new article he got published in 'the new york times'
17394,1,visiting parents do their best to praise son's new apartment
15231,0,"Well, the slavery analogy for gay rights is past it's applicability at this point--one was a property issue (also rooted in deep prejudice), the other is a morality issue. Many people oppose gay marriage out of morality and NOT prejudice. The same can't be said for slavery. There are many ways that the analogy doesn't work and that's just one of them. In fact, it could as easily be an analogy to reverse it and say that the ones who did the enslaving were analogous to gay rights lobbyists and the abolitionists were analogous to those who seek to protect marriage. After all, the plantation owners were the ones really fighting for ill-conceived rights--rights that they shouldn't have had. "
27357,1,"abortion issue 'most critical of our time,' say tobacco-industry executives"
17254,1,"health experts recommend standing up at desk, leaving office, never coming back"
1203,0,ricky gervais stands up for truth in the age of fake news
9130,0,Why would they be useless? They aren't useless on birds? And how is this qustion different in any meaningful way from the above? Aren't wings forelimbs with feathers? It seems that soaring or gliding or even faster running would be extremely useful.
11591,1,aspiring legislator keeps sending unsolicited bills to house of representatives
1068,1,brian williams retreats to mountainside hut to meditate on fickle nature of truth
21981,1,god proclaims raspberries 'now even more berrilicious'
3211,0,poland passes law that eu says threatens country's democracy
977,0,issa rae is 'tired' of constantly being asked about the black experience
2301,0,aaron carter opens up about his sexuality in emotional twitter post
22242,1,"friend insists you just have to climb ladder, hop gap, scale wall to see the view from apartment's roof"
883,0,"wedding of jew, muslim draws protesters shouting 'death to arabs'"
12501,0,trump budget would turn more jails into de facto mental hospitals
25639,0,The character of God seems to be in the eye of the beholder... Or non-existant.
8610,1,defunct 4-year-old sports blog still lurking on internet
5255,1,will smith: the black man everyone at work can agree on
6401,1,heavenly authorities arrest god for leaving children in overheating planet
21896,0,boy scouts unveils historic name change as girls join youth programs
9986,1,man insists facebook friend actually reads 'why palestinians are sub-human' article before commenting on it
3736,0,'the bold type' creator on tackling sexual assault in the show's hopeful finale
15649,1,jenna elfman mentally prepares answer to inevitable question about her outfit
22297,0,'baywatch' officially flops as 'pirates' comes in first at the box office
854,1,john kerry sits in shadows of kiev café awaiting woman known only as dasha
19187,0,"This is actually humorous coming from you who has absolutely no concept that you are a spiritual being, or the extra dimension of yourself which that reality means to you. In other words antonia, It is the epitome of self deceit to lie to oneself about who they are. And you define that darkness which is the great lie you represent so completely."
19247,0,pot products are now so potent they can trigger psychosis
21128,0,10 'outlander' spoilers you need to know for season 2
16690,1,You forgot to mention that we would have to change our numbering system so that grasshoppers had 4 legs.
12134,1,report: 3 players in nfl currently do not have concussions
21037,1,It's a self-defeating question. You're asking why numbskulls participate in numbskullery.
23023,1,I still do not understand what these people are demonstrating for or against. Are they demonstarting for being dropped in the middle of cancer treatement? Are they demonstrating for being denied coverage due to pre-existing condition? Are they demonstrating for increasing healthcare costs? Are they demonstrating for keeping 50 million people uninsured?
11337,1,And we have an emotional post with no substance whatsoever. I'm sure your twin will be checking in soon. I think I'll keep a count of this type of post.
19273,1,new hampshire covered in shadow as floating clinton campaign headquarters takes up position over state
27303,1,produce section bursts into laughter after will ferrell makes casual remark about apples
26951,1,"strangulation the new blow to the head, says hired killer magazine"
26035,0,reports: pixar executive takes leave of absence after sexual harassment complaints
10025,0,"So you see, Brady, you're wrong again. The McDonald ruling wasn't an issue of guaranteeing white men their ability to feel safe in the face of growing minority groups. Quite the opposite. The McDonald ruling was about striking against those with racist and evil intentions who would use the law to render innocent people helpless for no good reason. It was as much about protecting minorities from harm as anything."
15831,1,man doesn't get why people waste money on therapist when they could just emotionally crush girlfriend
23167,0,nationwide tax day marches demand donald trump release his tax returns
4328,0,trump uses daca setback to launch new attack on court system
21708,0,"news roundup for september 15, 2017"
6612,0,'whiteness history month' stirs up controversy at oregon college
25153,1,embarrassed brett kavanaugh can't believe he wore handmaid costume on same day as protesters
8283,0,"jimmy kimmel can't soften daca opponents, even with a cute baby"
5033,0,flat soda
21363,1,history channel helicopter to give viewers bird's eye view of history
20201,0,stephen curry apologizes for being better than everyone else
18281,1,student reporter hits it out of the park with 5 accurate sentences
27212,1,group of '90s footnotes welcomes gingrich home
21980,0,i was openly gay on my high school team and heard slurs all the time
6391,0,read live updates on the cnn gop debate
20455,0,"So what, the thread isn't about her signature. If we started responding to threads by attacking people's signatures, we'd all be in serious trouble. Especially me emoticonXAngel"
12462,1,"If the rejecting of the ""lifestyle"" results in death, beatings, job displacement, eviction, insults or inequality, then what would YOU call it? ""Religious moral code?"""
12751,0,rachel roy reveals her best beauty secrets to into the gloss
2473,1,definition of fudge-tastic stretched
8608,1,man with no plans just too exhausted to go out
7080,0,'very angry badger' seizes part of 500-year-old scottish castle
18674,0,france's far-right national front win big in regional elections
27538,1,middle-aged woman so tired of going back and forth between divorced parents' nursing homes
23975,0,"outside groups kick into high gear post-primary in georgia, south carolina"
17205,1,faint hope granted by word 'presumptive' cruelly snatched from american people
3195,1,candlelight vigilante takes commemorating into own hands
8349,0,valerie harper: lung cancer deadlier than breast
17452,0,head-in-sand purists
14728,0,this 'homoji'  keyboard brings queer shorthand to your text messages
12626,1,u.s. dignity reserves nearly depleted
12861,1,middle-aged man having best snacks of his life
26011,1,traveler excited hotel has hbo until he checks listing
11572,1,shakira just not feeling up to jiggling ass today
27677,0,strive for rising expectations
20808,0,here's what just one bad night's sleep can do to you
12276,1,nation did not see mark wahlberg's sex change coming
18019,1,area cockroach fucking huge
24908,0,josh hutcherson hints at more 'hunger games' movies
27385,1,rock hard café acquires autographed bon jovi cock ring
9528,0,is toxic algae good for you?
26094,1,uncool zookeeper won't let anyone ride gorillas
11891,1,pretentious woman refers to slam piece as 'partner'
797,1,"I marvel that you are so impressed by seeing your own text in print that you forget to make any sense in what you write! 
"
17293,0,two years after sandy: addressing the emotional needs of survivors
24548,1,gorgeous 25-year-old dead at 79
15086,1,"father-in-law think tank issues comprehensive one-sentence solution to immigration, unemployment, crime problems"
20753,0,olivia munn and aaron rodgers prove they're huge 'star wars' nerds
2878,1,knights organization denies claims that overhunting could lead to extinction of dragons
25225,1,albanian village bombed forward into stone age
1230,0,conservatives to white working class: drop dead
22064,1,mueller gives up trying to get report published after receiving 19th literary agent rejection
14231,1,"report: average american loses $5,000 each year from splitting check"
2338,1,drug deal goes great
13776,0,these twins' daily halloween costumes are beyond adorable
7751,1,taylor swift mourns death of boyfriend christopher dorner
5709,1,tim kaine stuffs handful of goldfish crackers in ballot scanner
4676,0,the genius of chinese cooking
19762,0,10 ways to raise a reader
11191,1,breitbart traffic down as readers now getting bulk of news analysis from graffiti scrawled across neighborhood
20451,0,oregon's new travel video may inspire acid trips more than vacations
5870,0,the spirit of paris must prevail
12409,0,coming out again!
4927,1,dad heartbreakingly thinks his connections can help son find job
11960,1,pepsi super bowl ad raises worldwide pepsi-awareness .00000000001 percent
26969,1,Your adversaries appreciate it greatly. Which part of the parades do you suppose they focus on to demonize you?
19758,0,aziz ansari pissed about accepting british award in person ... in la
12064,1,depressed groundhog sees shadow of rodent he once was
13714,0,the education department officially won't deal with transgender students experiencing bathroom discrimination
27208,1,"'okay, gene, let's just get through this,' marketing executive beginning day tells self"
18075,0,this is the 'single biggest barrier to sexual satisfaction'
15735,0,the vatican's spectacular christmas stamps
4443,1,"Demolishing your ""rebuttal"" in post #14 does, however. You missed it."
13470,1,depressed wolf blitzer locks self in situation room
3570,0,justice dept. sues illinois city for blocking an islamic center
6917,0,10 rules for a great startup idea
4766,0,the makeup packing question
6525,0,valerie harper gives fans health update following hospitalization
26168,1,"You should take a course in reading comprehension and civility.
Hebrew scholars overwhelmingly agree Genesis was meant to be read as history.
What they believe it is history is another story.
Some do , some don't ."
11977,0,palestinian youth and the psychological impact of violence
17357,1,woman seamlessly transitions from being too hungry to focus on job to being too full to focus on job
3005,0,to your health
23075,1,"blogger takes few moments every morning to decide whether to feel outraged, incensed, or shocked by day's news"
3878,1,apartment listing sweetens the pot with offer to sell current tenant's 9-year-old furniture
27762,0,"**This is the line that caused me to butt in, walking-fish. Again, my apologies, but prs has no idea of the difference between Lamarckian and Darwinian theory, and how that theoretical difference would be reflected in different social theories. As far as I can tell prs has nothing but preconceived misconceptions about this. I felt compelled to speak up. Hope you're not put out about my intrusion."
11820,1,14-word diet stretched to 200 pages
25032,1,podcaster makes solemn promise to improve sound quality next episode
19442,0,"trump threatens to veto spending bill over border wall funding, then signs it"
5007,0,"Well, you will find claims amoung this group that 'If Jews understood their own scriptures, they would accept Jesus as their Lord and Savior', and ""Christians are fullfilled Jews""."
4357,1,matt damon mans warner brothers booth at college campus's career day
18142,1,man gets all the way to hospital just to find out wife will be fine
16405,0,dad's tea party with 2-year-old basically sums up toddlers
4013,0,"You have some good points here, but what do you do in the event of pregnancy due to rape? Or a pregnancy that is going to put the life of the mother at risk?And to push the line a bit further, what about failed contraception, where the 'morning after' pill is taken? Does that count as abortion as it happens after conception?Smiley"
24032,1,"woman struggling to contort dreams, ambitions into shape of dental technician"
21100,0,businesses training to be alzheimer's friendly
16943,1,pop stars to consolidate
20454,1,area film buff wondering what pauline kael would say about cookie's fortune
26804,0,senate passes 3-year highway funding bill
4820,1,child visiting ellis island sees where grandparents once toured
17149,0,"the 12 colleges with the biggest sweet tooth, 2015 ranking by grubhub"
19116,0,oregon church apologizes for banning overweight people from its 'worship team'
18325,0,"Social Security should be an option. The government has no right to tell you what to do. Period.   Also, the government has no right to take 30% of your paycheck (income tax)."
14994,0,"But if the repeated tests just confirm the same errors or misinterpretations of the results, all of the independent reviews in the World wont make a difference."
1517,1,scientists announce today best time to look directly at sun
26099,0,"train collision in belgium kills 3, injures 40"
21490,0,The goal of anti-abortionist is clear. The job of self restraint is that of each participant in their close encounters.
9615,1,woman would have had awesome time aborting fetus if it weren't for angry protestors screaming outside clinic
27142,0,fyre festival co-founder has history of failing his customers
21952,0,do you and your spouse both drink? why it could matter for marital bliss
20208,0,james corden battles neil patrick harris in aca-mazing broadway riff-off
25658,1,nasa acquires moon for kennedy space center exhibit
148,0,32 throwback halloween costumes that totally deserve another run
4742,0,"If everytime I say something you(you in the general sense) bring out ""that is oppressive to women"" then please don't bother posting. If you don't believe in it you don't...I guess you could say if you don't support drugs you are oppressing the drug users....but you really arent."
10844,1,"oliver stone thriller 'individual 1' already written, filmed, nominated for 5 golden globes"
2711,1,"uma thurman, ethan hawke to sire new race of homo celbritans"
15180,1,"Interesting.... have you ever been to a schoolyard recently? I think the ""taunts"" are more directed at gays. Like ""f@ggot"" and ""fairy"". What taunts do you get on a daily basis? What... being called out on your negativity towards the rights of a minority? boo hoo."
12771,1,lawyer urged by mother to include younger brother in murder trial
9137,0,the view from brexit britain -- america still has the chance to repudiate hatred
8785,1,"company to use internet to waste money, employees' time"
15382,1,"Is it not extremely cold at 35,000 feet? Did he not suffer from hypothermia due to the extreme cold at 35,000 feet? Did he not fall from the sky and break near all his bones when the wheel well opened for landing after a lengthy flight at 35,000 feet? Do I have to give you the flight number and type of airplane in order to get my stuffed animal circus prize?"
24785,0,these illustrations perfectly sum up what it's like to have anxiety
162,1,cdc attempts to put ebola outbreak in perspective by releasing list of worse ways to die
13844,1,more than $30 worth of burned cds stolen from residence
11083,0,9 ways the most successful people see life differently
1018,0,protecting america from its president
5019,0,"guantanamo defense lawyers in 9/11 trial aren't under fbi investigation, doj tells court"
18446,1,report: murderer who escaped in 1996 remains most successful case of prisoner reintegration
9602,0,two trans women from the bronx open up about their lives and communities
10107,1,everyone in pride parade straight
19750,0,"Well, I wasn't an fortunate as you. It took me a few years to see through the fairy tale of evolution and see that God was the only true creator. However, that is a whole 'nother topic."
22760,1,sight of o.j. simpson actually kind of comforting
14311,1,no one able to tell clam just had stroke
12620,0,"But, it is a new TYPE of butterfly. 
 
 It would be more like if a bonobo and a human had a child. That is theorotically possible..."
18988,1,gop leaders assure sobbing rubio it not his fault party splitting up
15920,0,"why soccer matters, and why your opinion about it doesn't"
15029,1,man's neuroses really putting genuine compliment through the wringer
24681,0,mischa barton joins 'dancing with the stars'
4764,1,"this great song, bar sources report"
9376,1,national interest in anything hovering around 3 percent
19799,1,"If she was French then she was probably good looking, and definitely not fat, as fat french women do not exist. emoticonXClown"
9101,1,earth ranked number one party planet
6101,0,"I got an interesting tid bit for you:   http://www.2ampd.net/Articles/difiElitist.htm   First read the text. The anti-gun senator is noted for having the ONLY legal concealed gun in the city of San Francisco.   Also note as a person who carried a concealed gun and still keeps a .357 magnum for protection, that she should KEEP YOUR FINGER OFF THE TRIGGER, until your aming at your target."
1128,0,franchesca ramsey's retirement home for trump fans is brilliant
21696,1,nation's liberals not sure what to think after hearing special counsel has waterboarded every suspect in trump investigation
3215,0,the calculated plan to outlaw abortion in the us
6317,0,how the axact scandal changed pakistan's media
21556,0,will tax reform close the gaps?
8917,1,military recruiter doesn't have to dig too far into bag of tricks to land this one
11212,1,everyone in sears spanking a child
21778,0,photos of ''star wars' in real life will put you over the moon
3773,0,But you are smart enough to realize that the ban on gay marriage has nothing to do with it.
27624,1,Sounds like my 9mil. is more secure under my bed in hands reach.
15926,0,mitch mcconnell says elections are 'not an excuse' for senators to skip work
23977,0,world's richest lose $194 billion in first trading week of 2016
19871,0,u.s-backed syrian rebels' pleas for help likely to go unanswered
2088,0,"despite growing support for marijuana, legalization faces rocky road"
22113,0,devastating floods leave 23 dead in west virginia
4572,1,idea of doing nothing until next mass shooting quickly gaining traction in congress
17337,1,north dakota drinks itself to sleep again
10277,1,woman who drinks 6 cups of coffee per day trying to cut down on blue light at bedtime
22594,0,the overlooked way that companies can make workers more loyal
22656,0,Another strawman.   Explain to me how new information and new features equals to new structures and body parts.   Those links have long been refuted   http://www.creationwiki.org/(Talk.Or...dd_information   http://www.creationwiki.org/(Talk.Or...e_new_features
6150,1,"they held a big bash in honor of sluttish welfare queen Ayn Rand:
"
419,0,Oh dear God your ignorance is abundant!   Do you not understand what the federal DOMA law does?
13274,0,british singer and tv host cilla black dies at 72
15695,0,miley cyrus' 'wrecking ball' could be kelly clarkson's best cover yet
13731,1,god recalls collaborating on joint vision of humanity with deceased creative partner
4184,1,widow still can't bring herself to get rid of husband's corpse
13306,1,area man got so wasted and abusive last night
7562,1,cover letter specifically tailored to company even sadder than generic ones
6873,0,jimmy carter to make rare address to britain's house of lords
26916,0,man accused of killing girlfriend on hike wanted insurance money
5606,0,the welcome return of black wall street
14577,1,biden arrives early to set up state of the union fog machine
8030,1,epa rolls back emissions standards to increase consumer choice over type of apocalyptic hellscape earth will become
13264,1,study: humans began domesticating animals to comfort children whose parents split up
2025,1,no one in gang has heart to tell police informant his cover's blown
2590,0,8 stats that prove social anxiety needs to be taken seriously
9974,1,mcdonald's fights world hunger with new triple-decker burger
26991,1,supreme court agrees to hear new jack white album
10768,0,how the alt-right is using sex and camp to attract gay men to fascism
8260,0,stephen colbert attempts to list everything trump has attacked harder than nazis
3569,0,springing into may/charitable & cultural catch-up
20734,1,personal philosophy stolen from martin luther king jr.
15978,1,job placement service helps students who fail out of dad's alma mater find work at dad's company
25751,0,"That's EXACTLY the point. Regardless of whether or not human minds think differently, whichever mind produced and agrees that 2+2=4 is absolutely correct, the rest are wrong. We know this because we can observe and test the concept in the physical world and prove that it is true. This goes for just about anything, dissention in the face of facts does not change the facts.IMHO, this invalidates your claim that something produced in the human mind is not absolute due to some human minds being contradictory."
21396,0,congress expected to vote on budget to avert government shutdown
23622,0,it took me 30 years to come to terms with half of my identity
4024,1,fda: everyone needs to induce vomiting right now
27493,0,"I think you need to look up euthanasia, and not only for the correct grammar. Those examples are not euthanasia. Abortion is not the same thing as euthanasia.   Why don't you just say what is on your mind, rather than setting these ham-handed traps you hope someone will fall into? It is clear what your opinion is. If you have something to say, by all means express yourself."
5558,1,"You're equating atheism and homosexuality with terrorism and drug dealing? Really? Can you stop being a reactionary dolt long enough to convince me you're worth even trying to converse with? If not, I'll understand... and not be surprised."
11129,1,area man perfectly content with role as another cog in the wheel
7685,1,doctor alarmed by how little time family needed to decide to pull plug on grandfather
751,1,report: crooked border guards planting illegal immigrants in cars
18937,1,area man treats girlfriend to sumptuous 20-second massage
9728,0,"a pissing contest, with nukes"
10523,1,ghost of carl sagan warns against dangers of superstition
3683,1,willie nelson spaces on holding farm aid
8557,1,green party official caught embezzling campaign funds for dime bag
3791,0,"pete rose, the st. louis cardinals and the need for consistent mlb ethics policies"
14455,1,golden retriever mauls 5 in huge victory for pitbull apologists
4497,0,woman reportedly dies after live bee sting acupuncture
3848,0,"So I have the choice between staying safe and then claiming insurance damages, or risking my life to kill a burglar and (likely) cause damage to my own property in the process?   Somehow, I'd rather stay safe. Better to lose my laptop than my life."
11573,1,"republican party, average working joe bid one another adieu until 2012"
24868,1,Sounds like Phunting would have made a good German in the 1930s.
5444,1,"Jyoshu. Come back to earth.
How often do you see the term ""bigot"" thrown around on these message boards against other posters?
"
3071,1,This is from an article I read on it...so if we just get a bunch of aerosol spray cans we can combat any warming emoticonXGood
3107,1,"The same way, for the woman shot at the guy not when she was in the shower but afterwards and what good did it do to her ?   Maybe she was sohhhhhhhhhhh ugly that the poor guy ran away.   Do you have pictures of her, by the way?"
16533,1,supporters praise trump for upholding traditional american value of supporting murderous dictators for political gain
6851,1,women's strike a sobering reality check for subway masturbator
12805,0,elizabeth warren grills trump's labor nominee over workplace safety
24202,1,"Well, at least we agree that someone is obfuscating and denying."
16885,0,"syrian rebels fear government assault on besieged, starving daraya"
19839,0,ex-new orleans cops plead guilty in post-katrina killings
14514,1,nation's huggers announce plans for you to get over here
16500,1,I see. So the Bible is true because you claim it is true.
16303,1,"Well, maybe the pistol and the hunting rifle, what do you need an automatic weapon? Have the deer gotten faster?"
19650,0,poll shows support for birth control mandate on eve of court ruling
6454,0,malnutrition rates are up worldwide. here's why.
6235,1,"I guess he was a ""democrat"" as well. He certainly would not have been a republican."
7926,0,"No, I think you're trying to do more than that. You're trying to say that the increase in crime is due to a lack of gun ownership, aren't you? Because if you are, the article you cite doesn't back up that claim.   What, no actual data to back up any of your claims? Do you have access to US crime numbers? How many armed breakins do you get in a country where people do have guns? That's the comparison that needs to be made here."
18641,1,paranoid syrian man thinks government out to get him
26493,0,the world's fastest blind woman has no plans to slow down
1100,1,rest of kickline out sick
8199,1,obama increases sense of urgency by riding last white rhino on earth through climate talk
24596,1,woman shows hairstylist example of haircut she wants
17257,0,"And right at the top of the list, at a whopping 31.2 per 100,000, is Washington DC, even though they had a complete and total gun ban in place. How the hell do you explain that? Nobody could own handguns, nobody could ever carry a gun, nobody could have a gun outside of their home, nobody could even load their private guns, so how do they get to be at the top of the list or death rates?"
16594,1,poll: majority of americans still remember where they were when gandalf fell into abyss
8399,1,"new report finds adult film star may have paid over $130,000 to cover up sexual encounter with trump"
19389,0,"That should be, ""duh"".   I knew what you meant. A bit of humor is ok.   But I guess you don't have anything to say about the implications of this study."
4926,0,crucial steps to healthy hospital stays
24291,1,"Depends on how basic they are. Not much call for using flint, steel and tinder to start fires."
8247,1,assistant always follows warner bros. ceo with suitcase containing codes to authorize 'collateral beauty 2'
9184,0,spiders inspire fear -- along with novel products that could change the world
23607,1,Of course anyone can cite exceptions.....did you see the baby? Probably not.......As long as the mother is OK the baby does not count....... emoticonXRolleyes
623,1,"Or, given that this is about feasts, a waist is a terrible thing to mind."
23778,1,"child baffled by stationary, non-violent images"
26970,1,bin laden sends belated threat to israel for 60th birthday
3890,1,study: average person's life plan can only withstand 25 seconds of direct questioning
12321,0,is the fda sleeping on the job when it comes to sleeping pills?
18913,1,15 cnn ireporters killed in afghanistan
6094,0,florida state university suspends greek life after student's death
9339,1,archaeologists apologize for murdering last remaining neanderthal in fit of crazed bloodlust
11559,0,four simple tips to make your engagement session rock
19616,1,swiss unable to maintain neutrality toward delicious pastries
10204,0,they accused him of taking a backpack. the courts took the next 3 years of his life.
8312,1,maze with cheese in center enters human trials following decades of testing on mice
3967,0,tyra banks doesn't have time for drake's worst behavior in 'child's play' video
23014,1,police repeatedly shoot tim cook after mistaking iphone for gun
1408,1,world leaders hope singapore summit will lead to north korea becoming normal impoverished country they don't have to think about
19202,1,gay marriage opponents warn supreme court ruling could put nation on slippery slope to rationality
21467,1,whole foods announces it balancing out lower prices on most items by jacking cost of pita chips way up
8348,1,herpetologists discover species of frogs that evolved to spontaneously grow top hat and cane
2755,1,couple discovers shop that sells cakes
18148,1,"Yeah everyone knows its wrong to make a graven image dont they Einstein.
You are really stupidemoticonXChicken"
17297,1,scientists announce they've completed mapping the human g-spot
16480,1,area dad stares longingly at covered grill in backyard
18364,0,"greece, creditors dig in as deadline nears"
9311,0,i don't fight because i'm violent -- i fight because the world is
11422,0,wednesday's morning email: what the georgia special election results mean for the gop
1178,1,hillary launches campaign to raise $100 million or else she'll run for president
26034,0,hillary clinton torches the 'lip service' of ivanka trump
13187,0,"first nighter: musicals ""atomic,"" ""the mapmaker's opera,"" ""valueville"""
23759,0,"Well right there, you used an oxymoron, ""Great"" and ""Evangelist"" got together about as well as Military Inteligence.   Secondly, as I stated before...you left too many other questions unanswered about the ""Preacher."""
23730,1,"How refreshing. Sadly for you and like-minded ""patriots"", you cannot tell citizens where they ""should go"", except figuratively."
2007,0,'teen mom' star maci bookout gives birth to a baby girl
27217,0,it's complicated: 5 tips for using facebook while dating
19643,1,advertiser thought this sponsored post was good idea
9050,1,embarrassed whale panicking about huge barnacle outbreak before date
551,1,rookie justice gorsuch assigned to supreme court overnight shift
25007,0,police move homeless off philadelphia streets before pope's visit
14176,0,approved catcalls
17042,1,ayman al-zawahiri delivers tedtalk on changing face of terrorism
24183,0,"1) ""false impression by stating that a Christian Pastor believes that bigotry blocked Gay Marriage.""   2) ""Had the title said, pro-gay pastor believes bigotry blocked gay marriage""   The only difference here being that you would want to label him as ""pro-gay"" and exclude ""Christian"".   By the same token, should we remove ""Christian"" and replace it ""anti-gay"" from any pastor that speaks against homosexuality?   Naw. Of course not.   There is nothing dishonest about acknowledging he is a Christian.   His statements should make it clear that he is pro-gay.   Your dispute is pointless..."
13066,0,craig sager brings his a-game to facetime fellow cancer patient
17381,0,"http://www.nytimes.com/2009/03/03/science/03angi.html.   I've had three children, which gave me an opportunity to observe intimately the development of infants. Also, I worked with emotionally unstable children aged 3 and older, and observed what a delightful species the three-year-olds are. At that point, infants have progressed from the largely self-involved awareness of the 24-month infant as the developing human deals with the problem of separateness and, as a result, issues a robust declaration of independence. No! No! No! are the bywords of a two-year-old. No! I won't! And you can't make me!"
17428,1,assistant uses cake to smuggle cake-decorating set to martha stewart
17924,0,gop leaders say they're not giving up on repeal vote this week
17112,0,frank gehry: is music liquid architecture?
17929,0,3 ways to boost your empathy
23570,0,"oh yeahrubbish rubbish,scientifically speaking, human life (using a most bsic term) begins at conception. the twins exist as two seperate entities the moment each contains the individual human dna. seems to me you better be certain when it begins before you go around ending it. if you are driving at night an you ""think"" you might see a person ahead in the middle of the road you are hopefully not gonna drive over that person. Instead that uncertainty should lead you to stop. If you dont like that example, consider a hunter who is unsure what is in the bushes."
19296,0,oxford dictionaries' word of the year perfectly sums up life right now
9388,1,supreme court mistakenly used belgium's constitution for last 3 rulings
8085,1,"I'm against polygamy, marriages with underaged minors and marriages to livestock as well, so don't feel that you are the only ones not ""accomodated"". 
"
4078,0,are you present and mindful -- is your 'inner baby monitor' on?
13739,0,the shame game
16453,1,"Because that is your only excuse? Sorry chum, you still don't get seperation of church and state. If you want to debate religion, take it to the religion forum."
23990,0,this is what's delaying 'big bang theory' season 8
2071,0,This is poor example. Focusing on saving lives over burying the dead doesn't do anything to trump personal autonomy.
10270,0,alabama native channing tatum encourages followers not to vote for roy moore
23952,1,clinton goes on fun plane ride
11442,1,I didn't know that doctors have the constitutional right to perform abortions. What provision in the Constitution guarantees that right?
14471,1,"cheney to speak at republican convention from section 109, row 56, seat 3"
27557,1,authorities confirm north korea now has missile capable of hitting sam waterston's house
25891,1,security removes biden's rowdy buddies from auditorium
4304,1,paul ryan confident american people will warm up to tax plan once they realize life a cruel and meaningless farce
13270,0,because that's the subject of this thread: what designing a solution to a problem actually entails.
18807,1,"dad wearing some new kind of headphones that wrap over, under, around ears"
8746,1,"Just like it's the job of the gun control lobby to try and pass an overwhelming, unreasonable level of fear of an inanimate object?"
20845,0,I have never disagreed that marriage is a special dependent class. My point is that it is a society-sanctioned special class.
3920,1,"mobile app to revolutionize way users waste time, money"
26730,0,hilarious haunted house photos are the funniest part of halloween
3763,0,"You do realize that the rules are supposed to be absurd, to point up the absurdity of a recent court ruling, right?"
22895,1,single woman would love to hear them call her lonely now that she has basil plant
2302,0,"So you're saying that the theory of evolution is similar to ####, in that they both make large messes when they come into contact with fans?"
21265,1,nation's rich and powerful wondering when rest of americans will just give up
26015,0,north korea's evil-looking hotel has a brighter feature
17822,1,ups reports troubling drop in residents answering doors in lingerie
24058,0,report: mueller subpoenas pr executives linked to manafort
23476,0,Sorry to shatter you little world but this is happening it has been happening 25 years and it is happening now and it is completly legal no laws have been broken and yes there is a market for fetal tissue /limbs and bodies.Do some research you will be surprised what you will find.
10544,1,society tea party spoiled by ocelot
17663,0,jimmy carter to discuss cancer diagnosis on thursday
3558,0,"Again with the common sense, but that is another issue alltogether. You're arguement that the brain is a fundamental unit of life is just plain wrong, considering the majority of all organisms don't have one. Bacteria, Protists, Plants, Fungi, and some animals are all without brains. Brains are required for motion and fast response to immediate changes in environment, for example a falling rock. Brains cluster nerves so that appropriate action can be taken. Some brains are amazingly simple while others like our own are immensly complex.   Your arguements all show a general lack of study in biology and my common sense is appalled by yours. I am reminded of Bill Maher who once said about the intelligent design debate: ""Because you don't have to teach both sides of an arguement when one side is retarded."""
7838,1,construction crew arguing over who gets to use the fun tools
17617,1,"indonesian mother sews halloween costumes for 60,000 children"
26567,1,"i assume you can demonstrate that everyone that opposes or critiques gay rights are personally attacking an individual or group? please, be my guest"
19747,0,it's a girl for christina aguilera!
18712,0,why i no longer dream of having it all
15861,0,how discriminatory immigration policy affects the unborn
